idx,input_country,input_product,input_material,input_construction,input_gender,product_description,suggested_hs_code_1,certainty_1_percent,actual_hs_code_from_dataset,selected_hs_code,certainty (%),status,selected_reasoning,timestamp
0,NORWAY,knitted t-shirt T-Shirts,"54% Pima Cotton, 40% Polyester (Mechanical Recycled) - rPES, 6% Elastane - EL",Knitted,Men,"Product for NORWAY: Men's knitted t-shirt T-Shirts Material: 54% Pima Cotton, 40% Polyester (Mechanical Recycled) - rPES, 6% Elastane - EL. Construction: Knitted.",6109.10.00,50,61091000,6109.10.00,100,Validated (with Reasoning),"1. *GRI Application*:
    * GRI 1: The classification is determined by the terms of the headings and any relative Section or Chapter Notes.
    * GRI 6: Classification at the subheading level must follow the same principles as GRI 1, ensuring the most specific description is chosen.
2. *Historical Data Consideration*: No similar historical data was found.
3. *Chapter & Section Fit*: The product is a finished textile garment, placing it in Section XI, ""Textiles and textile articles"". Because the garment is explicitly ""knitted"", it falls under Chapter 61, which covers ""Articles of apparel and clothing accessories, knitted or crocheted"". This excludes Chapter 62, which is for apparel that is not knitted or crocheted.
4. *Heading & Subheading Determination*: Within Chapter 61, Heading 61.09 is designated for ""T-shirts, singlets and other vests, knitted or crocheted"". Since the T-shirt is made of 54% Pima Cotton, 40% Polyester, and 6% Elastane, the predominant material is Pima Cotton, which is a type of cotton. Therefore, the subheading 6109.10.00 ""Of cotton"" is appropriate.
5. *National Tariff Line Determination*: The complete HS code is 6109.10.00, as it appears verbatim in the provided `OFFICIAL CHAPTER CONTENT`.
6. *Exclusions & Verifications*:
    * Heading 61.10 is for Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted, which is not the case for a T-shirt.
7. *Internal Verification Check*:
    * **Check 1 (Knit/Woven):** Yes, the product is knitted, and the code chapter (61) matches.
    * **Check 2 (Code in Docs):** Yes, the exact HS code `6109.10.00` exists verbatim in the provided `OFFICIAL CHAPTER CONTENT`: `T-shirts,singlets and othervests,knitted or crocheted./Ofcotton`.
    * **Check 3 (Not Rejected):** No, this code is not on the `Previously Rejected HS Codes` list.
    * **Check 4 (Material Predominance):** Yes, the classification correctly reflects the predominant material by weight (Pima Cotton > 50%).",2025-10-12 11:41:35
1,NORWAY,knitted t-shirt T-Shirts,"54% Pima Cotton, 40% Polyester, 6% Elastane",Knitted,Men,"Product for NORWAY: Men's knitted t-shirt T-Shirts Material: 54% Pima Cotton, 40% Polyester, 6% Elastane. Construction: Knitted.",6109.10.00,60,61091000,6109.10.00,100,Validated (with Reasoning),"1. *GRI Application*:
    * GRI 1: The classification is determined by the terms of the headings and any relative Section or Chapter Notes.
    * GRI 6: Classification at the subheading level must follow the same principles as GRI 1, ensuring the most specific description is chosen.
2. *Historical Data Consideration*:
    * The historical data includes a similar product, ""Men's knitted t-shirt Long Sleeves Material: main material Polyester. Construction: Knitted. Country: Norway -> HS Code: 6109.90.10"". However, in this case, the main material is Pima Cotton (54%), so the historical data is not directly applicable.
3. *Chapter & Section Fit*:
    * Section XI: Textiles and textile articles.
    * Chapter 61: Articles of apparel and clothing accessories, knitted or crocheted. The product is a knitted garment, so Chapter 61 is appropriate.
4. *Heading & Subheading Determination*:
    * Heading 61.09: T-shirts, singlets and other vests, knitted or crocheted. This heading accurately describes the product.
    * Subheading 6109.10.00: Of cotton. Since Pima Cotton is the predominant material (54%), this subheading is appropriate.
5. *National Tariff Line Determination*:
    * The complete HS code 6109.10.00 is found in the provided `OFFICIAL CHAPTER CONTENT`.
6. *Exclusions & Verifications*:
    * Chapter 62 is excluded because the garment is knitted, not woven.
    * 6109.90.10 is excluded because the predominant material is cotton, not man-made fibers.
7. *Internal Verification Check*:
    * **Check 1 (Knit/Woven):** Yes, the product is knitted, and the code chapter (61) matches.
    * **Check 2 (Code in Docs):** Yes, the exact HS code `6109.10.00` exists verbatim in the provided `OFFICIAL CHAPTER CONTENT`: `T-shirts,singlets and othervests,knitted or crocheted./Ofcotton`.
    * **Check 3 (Not Rejected):** No, this code is not on the `Previously Rejected HS Codes` list.
    * **Check 4 (Material Predominance):** Yes, the classification correctly reflects the predominant material by weight (cotton > 50%).",2025-10-12 11:41:35
2,NORWAY,knitted t-shirt Short Sleeves,"54% Pima Cotton, 40% Polyester, 6% Elastane",Knitted,Men,"Product for NORWAY: Men's knitted t-shirt Short Sleeves Material: 54% Pima Cotton, 40% Polyester, 6% Elastane. Construction: Knitted.",6109.10.00,60,61091000,6109.10.00,100,Validated (with Reasoning),"1. *GRI Application*:
    * GRI 1: The classification is determined by the terms of the headings and any relative Section or Chapter Notes.
    * GRI 6: Classification at the subheading level must follow the same principles as GRI 1, ensuring the most specific description is chosen.
2. *Historical Data Consideration*:
    * The historical data includes an example of a ""Men's knitted t-shirt Long Sleeves Material: main material Polyester. Construction: Knitted. Country: Norway -> HS Code: 6109.90.10"". However, in this case, the Pima Cotton is the predominant material (54%), so this historical data is not directly applicable.
3. *Chapter & Section Fit*:
    * Section XI covers ""Textiles and textile articles"".
    * Chapter 61 covers ""Articles of apparel and clothing accessories, knitted or crocheted"". The product is a knitted t-shirt, so Chapter 61 is appropriate.
4. *Heading & Subheading Determination*:
    * Heading 61.09 is for ""T-shirts, singlets and other vests, knitted or crocheted"". This accurately describes the product.
    * Subheading 6109.10.00 is for ""Of cotton"". Since Pima Cotton is the predominant material (54%), this subheading is appropriate.
5. *National Tariff Line Determination*:
    * The complete HS code 6109.10.00 is found verbatim in the provided `OFFICIAL CHAPTER CONTENT`.
6. *Exclusions & Verifications*:
    * Chapter 62 is excluded because the product is knitted, not woven.
    * 6109.90.10 is excluded because the predominant material is cotton, not man-made fibers.
7. *Internal Verification Check*:
    * **Check 1 (Knit/Woven):** Yes, the product is knitted, and the code chapter (61) matches.
    * **Check 2 (Code in Docs):** Yes, the exact HS code `6109.10.00` exists verbatim in the provided `OFFICIAL CHAPTER CONTENT`: `T-shirts,singlets and othervests,knitted or crocheted./Ofcotton`.
    * **Check 3 (Not Rejected):** No, this code is not on the `Previously Rejected HS Codes` list.
    * **Check 4 (Material Predominance):** Yes, the classification correctly reflects the predominant material by weight (Pima Cotton > 50%).",2025-10-12 11:41:35
3,NORWAY,knitted t-shirt Short Sleeves,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL",Knitted,Men,"Product for NORWAY: Men's knitted t-shirt Short Sleeves Material: 85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL. Construction: Knitted.",6109.90.10,95,61099010,6109.90.10,100,Validated (with Reasoning),"1. *GRI Application*:
    * GRI 1: The classification is determined by the terms of the headings and any relative Section or Chapter Notes.
    * GRI 6: Classification at the subheading level must follow the same principles as GRI 1, ensuring the most specific description is chosen.
2. *Historical Data Consideration*:
    * The historical data includes two similar products with the same HS code 6109.90.10. The first one is a women's knitted t-shirt with short sleeves, composed of 85% Polyester (Mechanical Recycled) and 15% Elastane. The second one is a men's knitted t-shirt with short sleeves, composed of 85% Recycled Polyester and 15% Elastane. This supports the selection of this HS code.
3. *Chapter & Section Fit*:
    * Section XI: Textiles and textile articles.
    * Chapter 61: Articles of apparel and clothing accessories, knitted or crocheted. The product is a knitted garment, so Chapter 61 is appropriate. Chapter 62 is excluded because it covers articles of apparel that are not knitted or crocheted.
4. *Heading & Subheading Determination*:
    * Heading 61.09: T-shirts, singlets and other vests, knitted or crocheted. This heading accurately describes the product.
    * Subheading 6109.90: T-shirts, singlets and other vests, knitted or crocheted/Of man-made fibres. Since the t-shirt is made of 85% Polyester, which is a synthetic, man-made fibre, this subheading is appropriate.
    * Commodity ID 6109.90.10: T-shirts, singlets and other vests, knitted or crocheted/Of man-made fibres.
5. *National Tariff Line Determination*:
    * The `OFFICIAL CHAPTER CONTENT` lists the following options under Heading 61.09:
        * 6109.10.00 - Of cotton
        * 6109.90.10 - Of man-made fibres
        * 6109.90.90 - Other
    * Since the T-shirt is made of 85% Polyester, which is a synthetic, man-made fibre, the correct classification is 6109.90.10.
6. *Exclusions & Verifications*:
    * 6109.10.00 is excluded because the t-shirt is not made of cotton.
    * 6109.90.90 is excluded because the t-shirt is made of man-made fibres, not ""other"" textile materials.
7. *Internal Verification Check*:
    * **Check 1 (Knit/Woven):** Yes, the product is knitted, and the code chapter (61) matches.
    * **Check 2 (Code in Docs):** Yes, the exact HS code `6109.90.10` exists verbatim in the provided `OFFICIAL CHAPTER CONTENT`: `T-shirts,singlets and othervests,knitted or crocheted./Ofman-madefibres`.
    * **Check 3 (Not Rejected):** No, this code is not on the `Previously Rejected HS Codes` list.
    * **Check 4 (Material Predominance):** Yes, the classification correctly reflects the predominant material by weight (Polyester).",2025-10-12 11:41:35
4,NORWAY,knitted t-shirt T-Shirts,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL",Knitted,Men,"Product for NORWAY: Men's knitted t-shirt T-Shirts Material: 85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL. Construction: Knitted.",6109.90.10,95,61099010,6109.90.10,100,Validated (with Reasoning),"1. *GRI Application*:
    * GRI 1: The classification is determined by the terms of the headings and relative Section and Chapter Notes.
    * GRI 6: Classification of goods in the subheadings of a heading shall be determined according to the terms of those subheadings and any related Subheading Notes, mutatis mutandis, to the above Rules, on the understanding that only subheadings at the same level are comparable.

2. *Historical Data Consideration*:
    * The historical data includes several entries for ""Men's knitted t-shirt"" with a similar material composition (85% Recycled Polyester, 15% Elastane) classified under HS code 6109.90.10. This suggests that this code is a strong candidate.

3. *Chapter & Section Fit*:
    * The product is a finished textile garment, placing it in Section XI, ""Textiles and textile articles"".
    * The garment is ""knitted,"" so it falls under Chapter 61, ""Articles of apparel and clothing accessories, knitted or crocheted."" Chapter 62 is excluded because it covers apparel that is not knitted or crocheted.

4. *Heading & Subheading Determination*:
    * Heading 61.09 is designated for ""T-shirts, singlets and other vests, knitted or crocheted."" This accurately describes the product.
    * The subheadings under 61.09 are differentiated by material:
        * 6109.10.00 is for T-shirts ""Of cotton.""
        * 6109.90.10 is for T-shirts ""Of man-made fibres.""
        * 6109.90.90 is for T-shirts of ""Other"" textile materials.
    * Since the T-shirt is made of 85% Polyester (a man-made fiber) and 15% Elastane, the correct classification is 6109.90.10, as man-made fibers are the predominant material.

5. *National Tariff Line Determination*:
    * The `OFFICIAL CHAPTER CONTENT` lists the following options under heading 61.09:
        * 6109.10.00 T-shirts, singlets and other vests, knitted or crocheted./Of cotton
        * 6109.90.10 T-shirts, singlets and other vests, knitted or crocheted./Of man-made fibres
        * 6109.90.90 T-shirts, singlets and other vests, knitted orcrocheted./Other
    * The product is made of man-made fibres, so 6109.90.10 is the correct national tariff line.

6. *Exclusions & Verifications*:
    * Chapter 62 is excluded because the garment is knitted.
    * 6109.10.00 is excluded because the garment is not made of cotton.
    * 6109.90.90 is excluded because the garment is made of man-made fibres, not ""other"" textile materials.

7. *Internal Verification Check*:
    * **Check 1 (Knit/Woven):** Yes, the product is knitted, and the code chapter (61) matches.
    * **Check 2 (Code in Docs):** Yes, the exact HS code `6109.90.10` exists verbatim in the provided `OFFICIAL CHAPTER CONTENT`: `61099010T-shirts,singlets and othervests,knitted or crocheted./Ofman-madefibres`.
    * **Check 3 (Not Rejected):** No, this code is not on the `Previously Rejected HS Codes` list.
    * **Check 4 (Material Predominance):** Yes, the classification correctly reflects the predominant material by weight (Polyester, a man-made fiber).",2025-10-12 11:41:35
5,NORWAY,woven shorts Shorts,100% Recycled Polyester,Woven,Men,Product for NORWAY: Men's woven shorts Shorts Material: 100% Recycled Polyester. Construction: Woven.,6203.43.01,95,62034301,6203.43.01,100,Validated (with Reasoning),"1. *GRI Application*:
    * GRI 1: The classification is determined according to the terms of the headings and any relative Section or Chapter Notes.
    * GRI 6: Classification of goods in the subheadings of a heading shall be determined according to the terms of those subheadings and any related Subheading Notes.

2. *Historical Data Consideration*:
    * The historical data includes a similar product (""Men's woven shorts Shorts Material: 100% Recycled Polyester"") classified under 6203.43.01. This code is a strong candidate and will be verified against the current documentation.

3. *Chapter & Section Fit*:
    * Section XI: Textiles and textile articles.
    * Chapter 62: Articles of apparel and clothing accessories, not knitted or crocheted. The product is woven, which excludes Chapter 61 (knitted or crocheted articles).

4. *Heading & Subheading Determination*:
    * Heading 62.03: Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear).
    * Subheading 6203.4: Trousers, bib and brace overalls, breeches and shorts.
    * Subheading 6203.43: Of synthetic fibres. The shorts are made of 100% recycled polyester, which is a synthetic fibre.

5. *National Tariff Line Determination*:
    * 6203.43.01: Shorts. This is the most specific description available for the product.

6. *Exclusions & Verifications*:
    * Chapter 61 is excluded because the shorts are woven, not knitted or crocheted.

7. *Internal Verification Check*:
    * **Check 1 (Knit/Woven):** The product is woven, and the code chapter (62) matches. **Yes, confirmed.**
    * **Check 2 (Code in Docs):** Does this exact HS code `6203.43.01` exist verbatim in the provided `OFFICIAL CHAPTER CONTENT`? **Yes, confirmed.** The `OFFICIAL CHAPTER CONTENT` lists: `62034301Men‘sor boys‘ suits,ensembles,jackets, blazers,trousers,bib and braceoveralls,breeches and shorts(otherthan swimwear)./Shorts`
    * **Check 3 (Not Rejected):** Is this code on the `Previously Rejected HS Codes` list? **No, confirmed.**
    * **Check 4 (Material Predominance):** The classification correctly reflects the predominant material by weight (100% recycled polyester, classified as ""Of synthetic fibres""). **Yes, confirmed.**",2025-10-12 11:41:35
6,NORWAY,knitted tights Tights,"75% Recycled Polyester, 25% Elastane - EL",Knitted,Men,"Product for NORWAY: Men's knitted tights Tights Material: 75% Recycled Polyester, 25% Elastane - EL. Construction: Knitted.",6103.43.00,90,61034300,6103.43.00,100,Validated (with Reasoning),"1. *GRI Application*:
    * GRI 1: The classification is determined by the terms of the headings and any relative Section or Chapter Notes.
    * GRI 6: Classification at the subheading level must follow the same principles as GRI 1, ensuring the most specific description is chosen.
2. *Historical Data Consideration*:
    * The provided `Country Guidelines` includes a similar classification: ""Men's knitted tights Tights Material: main material Polyester. Construction: Knitted. Country: Norway -> HS Code: 6103.43.00"". This historical data serves as a strong candidate.
3. *Chapter & Section Fit*:
    * Section XI: Textiles and textile articles.
    * Chapter 61: Articles of apparel and clothing accessories, knitted or crocheted. The product is knitted, placing it in Chapter 61.
4. *Heading & Subheading Determination*:
    * Heading 61.03: Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.
    * Subheading 6103.4: Trousers, bib and brace overalls, breeches and shorts.
    * Subheading 6103.43: Of synthetic fibres. Since the tights are 75% Recycled Polyester (a synthetic fiber), this subheading is appropriate.
    * Statistical suffix: 6103.43.00 is the complete code listed in the provided documentation.
5. *National Tariff Line Determination*:
    * The complete HS code is 6103.43.00.
6. *Exclusions & Verifications*:
    * Chapter 62 is excluded because the product is knitted, not woven.
7. *Internal Verification Check*:
    * **Check 1 (Knit/Woven):** Is the product knitted/woven, and does the code chapter (61/62) match? Yes, the product is knitted, and the code is in Chapter 61.
    * **Check 2 (Code in Docs):** Does this exact HS code `6103.43.00` exist verbatim in the provided `OFFICIAL CHAPTER CONTENT`? **This is a non-negotiable, mandatory check.** Yes, the code exists verbatim: `61034300Men‘sor boys‘ suits,ensembles,jackets, blazers,trousers,bib and braceoveralls,breeches and shorts(otherthan swimwear),knittedor crocheted./Ofsyntheticfibres`
    * **Check 3 (Not Rejected):** Is this code on the `Previously Rejected HS Codes` list? No.
    * **Check 4 (Material Predominance):** Does the classification correctly reflect the predominant material by weight (e.g., classifying as 'Of cotton' if cotton > 50%)? Yes, the product is predominantly synthetic fiber (Recycled Polyester).",2025-10-12 11:41:35
7,NORWAY,knitted tights Tights,"75% Recycled Polyester, 25% Elastane - EL",Knitted,Men,"Product for NORWAY: Men's knitted tights Tights Material: 75% Recycled Polyester, 25% Elastane - EL. Construction: Knitted.",6103.43.00,90,61034300,6103.43.00,100,Validated (with Reasoning),"1. *GRI Application*:
    * GRI 1: The classification is determined by the terms of the headings and any relative Section or Chapter Notes.
    * GRI 6: Classification at the subheading level must follow the same principles as GRI 1, ensuring the most specific description is chosen.
2. *Historical Data Consideration*:
    * The provided `Country Guidelines` includes a similar classification: ""Men's knitted tights Tights Material: main material Polyester. Construction: Knitted. Country: Norway -> HS Code: 6103.43.00"". This historical data serves as a strong candidate.
3. *Chapter & Section Fit*:
    * Section XI: Textiles and textile articles.
    * Chapter 61: Articles of apparel and clothing accessories, knitted or crocheted. The product is knitted, placing it in Chapter 61.
4. *Heading & Subheading Determination*:
    * Heading 61.03: Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.
    * Subheading 6103.4: Trousers, bib and brace overalls, breeches and shorts.
    * Subheading 6103.43: Of synthetic fibres. Since the tights are 75% Recycled Polyester (a synthetic fiber), this subheading is appropriate.
    * Statistical suffix: 6103.43.00 is the complete code listed in the provided documentation.
5. *National Tariff Line Determination*:
    * The complete HS code is 6103.43.00.
6. *Exclusions & Verifications*:
    * Chapter 62 is excluded because the product is knitted, not woven.
7. *Internal Verification Check*:
    * **Check 1 (Knit/Woven):** Is the product knitted/woven, and does the code chapter (61/62) match? Yes, the product is knitted, and the code is in Chapter 61.
    * **Check 2 (Code in Docs):** Does this exact HS code `6103.43.00` exist verbatim in the provided `OFFICIAL CHAPTER CONTENT`? **This is a non-negotiable, mandatory check.** Yes, the code exists verbatim: `61034300Men‘sor boys‘ suits,ensembles,jackets, blazers,trousers,bib and braceoveralls,breeches and shorts(otherthan swimwear),knittedor crocheted./Ofsyntheticfibres`
    * **Check 3 (Not Rejected):** Is this code on the `Previously Rejected HS Codes` list? No.
    * **Check 4 (Material Predominance):** Does the classification correctly reflect the predominant material by weight (e.g., classifying as 'Of cotton' if cotton > 50%)? Yes, the product is predominantly synthetic fiber (Recycled Polyester).",2025-10-12 11:41:35
