idx,input_country,input_product,input_material,input_construction,input_gender,product_description,suggested_hs_code_1,certainty_1_percent,actual_hs_code_from_dataset,selected_hs_code,certainty (%),status,selected_reasoning,timestamp
8,NORWAY,woven pants Trousers,"80% Polyamide (Recycled Nylon) - rPA, 20% Elastane - EL",Woven,Men,"Product for NORWAY: Men's woven pants Trousers Material: 80% Polyamide (Recycled Nylon) - rPA, 20% Elastane - EL. Construction: Woven.",6203.43.09,90,62034309,6203.43.09,100,Validated (with Reasoning),"1. *GRI Application*:
    * GRI 1: The classification is determined by the terms of the headings and any relative Section or Chapter Notes.
    * GRI 6: Classification at the subheading level must follow the same principles as GRI 1, ensuring the most specific description is chosen.
2. *Historical Data Consideration*:
    * The provided `Commonly found Classifications` includes ""Men's woven pants Pants Material: main material is Polyamide. Construction: Woven. Country: Norway -> HS Code: 6203.43.09"". This historical data strongly suggests the correct classification.
3. *Chapter & Section Fit*:
    * Section XI covers ""Textiles and textile articles"".
    * Chapter 62 covers ""Articles of apparel and clothing accessories, not knitted or crocheted"". Since the pants are woven, Chapter 62 is appropriate.
4. *Heading & Subheading Determination*:
    * Heading 62.03 covers ""Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear)"".
    * Subheading 6203.4 covers ""Trousers, bib and brace overalls, breeches and shorts"".
    * Subheading 6203.43 covers ""Of synthetic fibres"". Since the pants are predominantly Polyamide (a synthetic fiber), this is the correct selection.
5. *National Tariff Line Determination*:
    * The `OFFICIAL CHAPTER CONTENT` lists ""62034301 Men‘sor boys‘ suits,ensembles,jackets, blazers,trousers,bib and braceoveralls,breeches and shorts(otherthan swimwear)./Shorts"" and ""62034309 Men‘sor boys‘ suits,ensembles,jackets, blazers,trousers,bib and braceoveralls,breeches and shorts(otherthan swimwear)./Other"". Since the product is pants and not shorts, 6203.43.09 is the correct statistical suffix.
6. *Exclusions & Verifications*:
    * Chapter 61 is excluded because the pants are woven, not knitted or crocheted.
7. *Internal Verification Check*:
    * **Check 1 (Knit/Woven):** The product is woven, and the code chapter (62) matches. Yes, confirmed.
    * **Check 2 (Code in Docs):** Does this exact HS code `6203.43.09` exist verbatim in the provided `OFFICIAL CHAPTER CONTENT`? **Yes, confirmed. The line item is: ""62034309 Men‘sor boys‘ suits,ensembles,jackets, blazers,trousers,bib and braceoveralls,breeches and shorts(otherthan swimwear)./Other""**
    * **Check 3 (Not Rejected):** Is this code on the `Previously Rejected HS Codes` list? No, confirmed.
    * **Check 4 (Material Predominance):** Does the classification correctly reflect the predominant material by weight (e.g., classifying as 'Of cotton' if cotton > 50%)? Yes, the classification is ""Of synthetic fibres"" because Polyamide (a synthetic fiber) is 80%.",2025-10-12 11:41:35
9,NORWAY,woven shorts Shorts,"86% Polyamide (Recycled Nylon) - rPA, 14% Elastane - EL",Woven,Men,"Product for NORWAY: Men's woven shorts Shorts Material: 86% Polyamide (Recycled Nylon) - rPA, 14% Elastane - EL. Construction: Woven.",6203.43.01,90,62034301,6203.43.01,100,Validated (with Reasoning),"1. *GRI Application*:
    * GRI 1: The classification is determined by the terms of the headings and any relative Section or Chapter Notes.
2. *Historical Data Consideration*:
    * The historical data includes a similar product (Men's woven shorts, 86% Polyamide (recycled), 14% Elastane) classified under 6203.43.01. This serves as a strong starting point.
3. *Chapter & Section Fit*:
    * Section XI covers ""Textiles and textile articles.""
    * Chapter 62 pertains to ""Articles of apparel and clothing accessories, not knitted or crocheted."" Since the shorts are woven, Chapter 62 is appropriate.
4. *Heading & Subheading Determination*:
    * Heading 62.03 covers ""Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear).""
    * Subheading 6203.4 covers ""Trousers, bib and brace overalls, breeches and shorts.""
    * 6203.43 covers ""Of synthetic fibres"". Polyamide (Recycled Nylon) is a synthetic fiber.
5. *National Tariff Line Determination*:
    * Within 6203.43, the `OFFICIAL CHAPTER CONTENT` lists:
        * 6203.43.01 ""Shorts""
        * 6203.43.09 ""Other""
    * Since the product is shorts, 6203.43.01 is the correct national tariff line.
6. *Exclusions & Verifications*:
    * Chapter 61 is excluded because the shorts are woven, not knitted or crocheted.
7. *Internal Verification Check*:
    * **Check 1 (Knit/Woven):** Is the product knitted/woven, and does the code chapter (61/62) match? Yes, the product is woven, and the code is in Chapter 62.
    * **Check 2 (Code in Docs):** Does this exact HS code `6203.43.01` exist verbatim in the provided `OFFICIAL CHAPTER CONTENT`? **Yes, the code exists verbatim. The document lists: `62034301Men‘sor boys‘ suits,ensembles,jackets, blazers,trousers,bib and braceoveralls,breeches and shorts(otherthan swimwear)./Shorts`**
    * **Check 3 (Not Rejected):** Is this code on the `Previously Rejected HS Codes` list? No, the code is not on the rejected list.
    * **Check 4 (Material Predominance):** Does the classification correctly reflect the predominant material by weight (e.g., classifying as 'Of cotton' if cotton > 50%)? Yes, the classification reflects the predominant material, which is synthetic fibers (Polyamide).",2025-10-12 11:41:35
10,NORWAY,woven shorts Shorts,"62% Polyester, 22% Polyamide, 16% Elastane",Woven,Men,"Product for NORWAY: Men's woven shorts Shorts Material: 62% Polyester, 22% Polyamide, 16% Elastane. Construction: Woven.",6203.43.01,90,62034301,6203.43.01,100,Validated (with Reasoning),"1. *GRI Application*:
    * GRI 1: The classification is determined according to the terms of the headings and any relative Section or Chapter Notes.
    * GRI 6: Classification of goods in the subheadings of a heading shall be determined according to the terms of those subheadings and any related Subheading Notes.

2. *Historical Data Consideration*:
    * The historical data includes a similar product: ""Men's woven shorts Shorts Material: main material Polyester. Construction: Woven. Country: Norway -> HS Code: 6203.43.01"". This suggests that the first six digits, 6203.43, are likely correct.

3. *Chapter & Section Fit*:
    * The product is a finished textile garment, which places it in Section XI, ""Textiles and textile articles"".
    * Chapter 62: Articles of apparel and clothing accessories, not knitted or crocheted. The product is described as ""woven,"" so Chapter 62 is appropriate.

4. *Heading & Subheading Determination*:
    * Heading 62.03: Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear).
    * Subheading 6203.4: Trousers, bib and brace overalls, breeches and shorts.
    * Subheading 6203.43: Of synthetic fibres. Since polyester is the predominant material (62%), this subheading is appropriate.

5. *National Tariff Line Determination*:
    * 6203.43.01: Men‘sor boys‘ suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear)./Shorts

6. *Exclusions & Verifications*:
    * Chapter 61 is excluded because the shorts are woven, not knitted or crocheted.

7. *Internal Verification Check*:
    * **Check 1 (Knit/Woven):** Is the product knitted/woven, and does the code chapter (61/62) match? Yes, the product is woven, and the code is in Chapter 62.
    * **Check 2 (Code in Docs):** Does this exact HS code `6203.43.01` exist verbatim in the provided `OFFICIAL CHAPTER CONTENT`? **This is a non-negotiable, mandatory check.** Yes, the code exists.
    * **Check 3 (Not Rejected):** Is this code on the `Previously Rejected HS Codes` list? No, the code is not on the rejected list.
    * **Check 4 (Material Predominance):** Does the classification correctly reflect the predominant material by weight (e.g., classifying as 'Of cotton' if cotton > 50%)? Yes, the classification is ""Of synthetic fibres"" because polyester (62%) is the predominant material.",2025-10-12 11:41:35
11,NORWAY,woven pants Trousers,100% Polyamide (Nylon) - PA,Woven,Men,Product for NORWAY: Men's woven pants Trousers Material: 100% Polyamide (Nylon) - PA. Construction: Woven.,6203.43.09,95,62034309,6203.43.09,100,Validated (with Reasoning),"1. *GRI Application*:
    * GRI 1: The classification is determined by the terms of the headings and any relative Section or Chapter Notes.
    * GRI 6: Classification at the subheading level must follow the same principles as GRI 1, ensuring the most specific description is chosen.
2. *Historical Data Consideration*:
    * The provided `Commonly found Classifications` includes ""Men's woven pants Pants Material: main material is Polyamide. Construction: Woven. Country: Norway -> HS Code: 6203.43.09"". This historical data strongly suggests 6203.43.09 as a candidate.
3. *Chapter & Section Fit*:
    * Section XI covers ""Textiles and textile articles"".
    * Chapter 62 covers ""Articles of apparel and clothing accessories, not knitted or crocheted"". Since the pants are woven, Chapter 62 is appropriate.
4. *Heading & Subheading Determination*:
    * Heading 62.03 covers ""Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear)"".
    * Subheading 6203.4 covers ""Trousers, bib and brace overalls, breeches and shorts"".
    * Subheading 6203.43 covers ""Of synthetic fibres"". Since the pants are made of 100% Polyamide (Nylon), a synthetic fiber, this subheading is appropriate.
5. *National Tariff Line Determination*:
    * The `Commonly found Classifications` lists the complete code as 6203.43.09.
6. *Exclusions & Verifications*:
    * Chapter 61 is excluded because the pants are woven, not knitted or crocheted.
7. *Internal Verification Check*:
    * **Check 1 (Knit/Woven):** Is the product knitted/woven, and does the code chapter (61/62) match? Yes, the product is woven and the code is in Chapter 62.
    * **Check 2 (Code in Docs):** Does this exact HS code `6203.43.09` exist verbatim in the provided `OFFICIAL CHAPTER CONTENT`? Yes, the code exists verbatim: `62034309Men‘sor boys‘ suits,ensembles,jackets, blazers,trousers,bib and braceoveralls,breeches and shorts(otherthan swimwear)./Other`.
    * **Check 3 (Not Rejected):** Is this code on the `Previously Rejected HS Codes` list? No, the code is not on the rejected list.
    * **Check 4 (Material Predominance):** Does the classification correctly reflect the predominant material by weight (e.g., classifying as 'Of cotton' if cotton > 50%)? Yes, the pants are 100% Polyamide, and the code is for ""Of synthetic fibres"".",2025-10-12 11:41:35
12,NORWAY,woven pants Trousers,"89% Polyamide (Nylon) - PA, 11% Elastane - EL",Woven,Men,"Product for NORWAY: Men's woven pants Trousers Material: 89% Polyamide (Nylon) - PA, 11% Elastane - EL. Construction: Woven.",6203.43.09,90,62034309,6203.43.09,100,Validated (with Reasoning),"1. *GRI Application*:
    * GRI 1: Classification is determined by the terms of the headings and any relative Section or Chapter Notes. The terms of the headings and chapter notes are used to determine the classification.
    * GRI 6: Subheading classification is determined according to the terms of those subheadings and any related Subheading Notes, mutatis mutandis, to the above rules, on the understanding that only subheadings at the same level are comparable.

2. *Historical Data Consideration*:
    * The provided ""Commonly found Classifications"" includes ""Men's woven pants Pants Material: main material is Polyamide. Construction: Woven. Country: Norway -> HS Code: 6203.43.09"". This historical data serves as a strong indicator for the classification of this product.

3. *Chapter & Section Fit*:
    * Section XI: Textiles and textile articles.
    * Chapter 62: Articles of apparel and clothing accessories, not knitted or crocheted.
    * The product is men's woven pants, which are not knitted. Therefore, Chapter 62 is appropriate.

4. *Heading & Subheading Determination*:
    * Heading 62.03: Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear).
    * Subheading 6203.4: Trousers, bib and brace overalls, breeches and shorts.
    * Subheading 6203.43: Of synthetic fibres.
    * The pants are made of 89% Polyamide (Nylon), which is a synthetic fiber, making this subheading appropriate.

5. *National Tariff Line Determination*:
    * The `OFFICIAL CHAPTER CONTENT` lists the following options under subheading 6203.43:
        * 6203.43.01: Shorts
        * 6203.43.09: Other
    * Since the product is pants and not shorts, 6203.43.09 is the correct statistical suffix.

6. *Exclusions & Verifications*:
    * Chapter 61 is excluded because the pants are woven, not knitted or crocheted.

7. *Internal Verification Check*:
    * **Check 1 (Knit/Woven):** Is the product knitted/woven, and does the code chapter (61/62) match? Yes, the product is woven, and the code is in Chapter 62.
    * **Check 2 (Code in Docs):** Does this exact HS code `6203.43.09` exist verbatim in the provided `OFFICIAL CHAPTER CONTENT`? **This is a non-negotiable, mandatory check.** Yes, the code exists. The relevant line item is: `62034309Men‘sor boys‘ suits,ensembles,jackets, blazers,trousers,bib and braceoveralls,breeches and shorts(otherthan swimwear)./Other`
    * **Check 3 (Not Rejected):** Is this code on the `Previously Rejected HS Codes` list? No, the code is not on the list.
    * **Check 4 (Material Predominance):** Does the classification correctly reflect the predominant material by weight (e.g., classifying as 'Of cotton' if cotton > 50%)? Yes, the classification reflects the predominant material, which is Polyamide (a synthetic fiber).",2025-10-12 11:41:35
0,AUSTRALIA,Shoes Mid Cut,Upper: Textile / Sole: Rubber,Missiongrip Rubber,Kids,Product for AUSTRALIA: Kids's Shoes Mid Cut Material: Upper: Textile / Sole: Rubber. Construction: Missiongrip Rubber.,6404.11.90.03,90,6404119003,6404.11.90.03,100,Validated (with Reasoning),"1.  *GRI Application*: GRI 1 is applied to find the most specific heading that describes the goods. GRI 6 is used to compare subheadings at the same level.
2.  *Historical Data Consideration*: The historical data for a similar product (Kids, Shoes, Low cut, Upper: Textile / Sole: Rubber, Construction: Missiongrip Rubber) classified under 6404119003 strongly influences this option, indicating that ""Missiongrip Rubber"" construction is typically considered ""sports footwear.""
3.  *Chapter Determination*: Chapter 64 is chosen as it specifically covers ""FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.""
4.  *Heading Selection*: Heading 6404 is selected because the product has outer soles of rubber and uppers of textile materials, which perfectly matches the description: ""FOOTWEAR WITH OUTER SOLES OF RUBBER, PLASTICS, LEATHER OR COMPOSITION LEATHER AND UPPERS OF TEXTILE MATERIALS.""
5.  *Subheading Determination*:
    *   Subheading 6404.1 is chosen for ""Footwear with outer soles of rubber or plastics,"" which aligns with the product's rubber sole.
    *   Subheading 6404.11 is selected for ""Sports footwear; tennis shoes, basketball shoes, gym shoes, training shoes and the like."" The ""Missiongrip Rubber"" construction is characteristic of athletic or outdoor sports footwear, making this a strong fit for ""training shoes and the like.""
    *   Subheading 6404.11.90 ""--- Other"" is chosen as the footwear is not specifically ski-boots, cross-country ski footwear, or snowboard boots.
6.  *National Tariff Line*: The statistical suffix 03, described as ""Other,"" is applied because the product is ""Kids' Shoes"" and does not fall under the categories for ""Female footwear exceeding size 1, second series"" or ""Male footwear exceeding size 1, second series.""
7.  *Footwear-Specific Considerations*: The ""Missiongrip Rubber"" construction is a key factor in classifying this as sports footwear under 6404.11. The ""Mid Cut"" aspect does not alter this classification within the provided tariff lines for sports footwear.",2025-10-12 12:05:47
1,JAPAN,Shoes Mid Cut,Upper: Textile / Sole: Rubber,Missiongrip Rubber,Kids,Product for JAPAN: Kids's Shoes Mid Cut Material: Upper: Textile / Sole: Rubber. Construction: Missiongrip Rubber.,6404.11.000,80,640411000,6404.11.000,100,Validated (with Reasoning),"1.  *GRI Application*: GRI 1 is applied, as the product's description directly matches the terms of Heading 64.04 and Subheading 6404.11. GRI 6 is used to determine the national tariff line, ensuring the most specific classification within the hierarchy.
2.  *Historical Data Consideration*: Historical data for a very similar product (Kids' Shoes, Textile upper, Rubber sole, Missiongrip Rubber construction) was previously classified under 6404.11.000. This strong precedent, with identical key characteristics (materials, construction, and gender), heavily influences the classification of the current product as sports footwear. The ""Mid Cut"" aspect does not preclude it from this subheading.
3.  *Chapter Determination*: Chapter 64 is chosen as it specifically covers ""Footwear, gaiters and the like; parts of such articles,"" which directly applies to the product.
4.  *Heading Selection*: Heading 64.04 is selected because it explicitly covers ""Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials."" The product's outer sole of rubber and uppers of textile materials perfectly align with this heading.
5.  *Subheading Determination*: Subheading 6404.11 is chosen because the product's ""Missiongrip Rubber"" construction, which implies specialized grip and durability, combined with its designation as ""Kids' Shoes"" (often implying active use), strongly suggests an intended use as ""Sports footwear; tennis shoes, basketball shoes, gym shoes, training shoes and the like."" The ""Mid Cut"" design is consistent with various types of athletic footwear.
6.  *National Tariff Line*: The national tariff line ""000"" is the only available and most specific option provided under 6404.11, completing the 9-digit HS code for Japan.
7.  *Footwear-Specific Considerations*: The ""Missiongrip Rubber"" construction is a critical indicator of athletic or performance-oriented footwear, directly supporting the ""Sports footwear"" classification. The ""Kids'"" aspect further reinforces the likelihood of active or sports-related use.",2025-10-12 12:05:47
2,SWITZERLAND,Shoes Mid Cut,Upper: Textile / Sole: Rubber,Missiongrip Rubber,Kids,Product for SWITZERLAND: Kids's Shoes Mid Cut Material: Upper: Textile / Sole: Rubber. Construction: Missiongrip Rubber.,6404.1100-000,80,64041100-000,6404.1100-000,100,Validated (with Reasoning),"1.  *GRI Application*: GRI 1 directs classification according to the terms of the headings and any relative Section or Chapter Notes. GRI 6 applies the same principle to subheadings.
2.  *Historical Data Consideration*: No similar historical footwear data was found, so classification relies solely on the provided product description and official documentation.
3.  *Chapter Determination*: Chapter 64 is chosen as it specifically covers ""Footwear, gaiters and the like; parts of such articles."" The product is clearly footwear.
4.  *Heading Selection*: Heading 6404 is selected because it covers ""Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials."" The product explicitly states ""Sole: Rubber"" and ""Upper: Textile,"" perfectly matching this heading.
5.  *Subheading Determination*: Within Heading 6404, subheading 6404.1 covers ""Footwear with outer soles of rubber or plastics."" Further, subheading 6404.11 specifically covers ""Sports footwear; tennis shoes, basketball shoes, gym shoes, training shoes and the like."" The ""Mid Cut"" design often provides ankle support, common in athletic footwear (e.g., basketball shoes, hiking shoes). The ""Missiongrip Rubber"" construction implies a specialized sole designed for enhanced grip and performance, which is a characteristic feature of sports or outdoor activity footwear. These elements strongly indicate an athletic or sports-oriented design for children.
6.  *National Tariff Line*: Assuming 6404.11.00 is the most granular 8-digit tariff item for ""Sports footwear"" with rubber soles and textile uppers in the official Swiss documentation. For Switzerland, the code must be 11 digits, so ""-000"" is appended to form 6404.1100-000.
7.  *Footwear-Specific Considerations*: The combination of ""Mid Cut"" and ""Missiongrip Rubber"" points to athletic/sports footwear. The ""Kids's"" designation indicates children's footwear, which falls under the general sports footwear category if no more specific children's sub-subheading is provided in the official documentation.",2025-10-12 12:05:47
3,UNITED STATES,Shoes Low cut,Upper: Textile / Sole: Rubber,Rubber,Men,Product for UNITED STATES: Men's Shoes Low cut Material: Upper: Textile / Sole: Rubber. Construction: Rubber.,6404.11.9020,80,6404119020,6404.11.9020,100,Validated (with Reasoning),"1.  *GRI Application*: GRI 1 directs classification by the terms of the headings and section/chapter notes. GRI 6 applies these principles to subheadings.
2.  *Historical Data Consideration*: The historical data for a similar product (identical description except for the statistical suffix) points to 6404.11.90. This strongly supports the 8-digit classification. However, the historical statistical suffix `50` (""Forwomen: Other"") contradicts the product's gender (""Men's Shoes""). Therefore, the 8-digit code is adopted, but the statistical suffix is corrected based on the current product's gender.
3.  *Chapter Determination*: Chapter 64, ""FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES,"" is the appropriate chapter for footwear.
4.  *Heading Selection*: Heading 6404 is selected: ""Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials."" This perfectly matches the product's outer sole material (rubber) and upper material (textile).
5.  *Subheading Determination*: Subheading 6404.11 is chosen: ""Footwear with outer soles of rubber or plastics: Sports footwear; tennis shoes, basketball shoes, gym shoes, training shoes and the like."" Additional U.S. Note 2 clarifies that ""tennis shoes, basketball shoes, gym shoes, training shoes and the like"" covers athletic footwear, whether or not principally used for such athletic games. Low-cut shoes with textile uppers and rubber soles are commonly considered athletic or sports-style footwear, fitting this description.
6.  *National Tariff Line*: Within 6404.11, the product does not have uppers of which over 50% is leather. Therefore, it falls under ""Other."" Since no value is provided, and the historical data used the `90` suffix, it is reasonable to assume ""Valued over $12/pair,"" leading to 6404.11.90. For ""Men's"" footwear under this 8-digit code, the statistical suffix is `20` (""Formen: Other""). Thus, the full HS code is 6404.11.9020.
7.  *Footwear-Specific Considerations*: The product's low-cut design, textile upper, and rubber sole are characteristic of athletic or casual sports footwear, aligning with the ""tennis shoes, basketball shoes, gym shoes, training shoes and the like"" category. The ""Construction: Rubber"" further supports the rubber sole and common manufacturing methods for such footwear.",2025-10-12 12:05:47
